Match: CLE2018 vs GSW2018 | Win Prob: 0.4148914 vs 0.5851086 | Odds: 127 to -147 | Recommendation: Home
Match: MIN2018 vs MEM2018 | Win Prob: 0.69376826 vs 0.30623174 | Odds: -2500 to 1262 | Recommendation: Visiting
Match: BRK2018 vs CHI2018 | Win Prob: 0.57733136 vs 0.42266864 | Odds: -294 to 249 | Recommendation: Visiting
Match: MIA2018 vs OKC2018 | Win Prob: 0.4447533 vs 0.5552468 | Odds: 166 to -192 | Recommendation: Home
Match: NYK2018 vs CLE2018 | Win Prob: 0.42270014 vs 0.57729983 | Odds: 693 to -1000 | Recommendation: Home
Match: PHO2018 vs GSW2018 | Win Prob: 0.28525284 vs 0.7147472 | Odds: 600 to -833 | Recommendation: Home
Match: LAL2018 vs UTA2018 | Win Prob: 0.37897187 vs 0.6210281 | Odds: 408 to -526 | Recommendation: Home
Match: MEM2018 vs DET2018 | Win Prob: 0.35000658 vs 0.6499934 | Odds: 214 to -250 | Recommendation: Home
Match: BOS2018 vs ATL2018 | Win Prob: 0.6513153 vs 0.3486848 | Odds: -526 to 418 | Recommendation: Visiting
Match: CHO2018 vs IND2018 | Win Prob: 0.47506 vs 0.5249401 | Odds: 100 to -115 | Recommendation: Home
Match: PHI2018 vs DAL2018 | Win Prob: 0.58163434 vs 0.41836566 | Odds: -1429 to 874 | Recommendation: Visiting
Match: SAS2018 vs POR2018 | Win Prob: 0.50518715 vs 0.49481288 | Odds: -213 to 184 | Recommendation: Visiting
Match: GSW2018 vs NOP2018 | Win Prob: 0.56652826 vs 0.43347177 | Odds: -263 to 222 | Recommendation: Visiting
Match: HOU2018 vs OKC2018 | Win Prob: 0.5691934 vs 0.4308066 | Odds: -208 to 179 | Recommendation: Visiting
Match: CHI2018 vs BRK2018 | Win Prob: 0.42266864 vs 0.57733136 | Odds: 209 to -244 | Recommendation: Home
Match: NYK2018 vs MIL2018 | Win Prob: 0.44622806 vs 0.553772 | Odds: 323 to -400 | Recommendation: Home
Match: LAC2018 vs DEN2018 | Win Prob: 0.42122185 vs 0.57877815 | Odds: 136 to -156 | Recommendation: Home
Match: LAL2018 vs MIN2018 | Win Prob: 0.3968965 vs 0.60310346 | Odds: 181 to -213 | Recommendation: Home
Match: PHO2018 vs NOP2018 | Win Prob: 0.3427974 vs 0.6572026 | Odds: 690 to -1000 | Recommendation: Home
Match: MEM2018 vs SAC2018 | Win Prob: 0.5002627 vs 0.49973735 | Odds: 148 to -169 | Recommendation: Home
Match: BOS2018 vs CHI2018 | Win Prob: 0.6736422 vs 0.32635775 | Odds: -286 to 242 | Recommendation: Visiting
Match: NYK2018 vs MIA2018 | Win Prob: 0.40686953 vs 0.59313047 | Odds: 357 to -435 | Recommendation: Home
Match: DET2018 vs DAL2018 | Win Prob: 0.52806103 vs 0.471939 | Odds: -294 to 248 | Recommendation: Visiting
Match: ORL2018 vs CHO2018 | Win Prob: 0.38818023 vs 0.6118198 | Odds: 262 to -312 | Recommendation: Home
Match: PHI2018 vs CLE2018 | Win Prob: 0.55853754 vs 0.44146252 | Odds: -161 to 140 | Recommendation: Visiting
Match: WAS2018 vs ATL2018 | Win Prob: 0.6150746 vs 0.3849254 | Odds: -667 to 523 | Recommendation: Visiting
Match: DEN2018 vs MIN2018 | Win Prob: 0.4865488 vs 0.5134513 | Odds: -192 to 165 | Recommendation: Visiting
Match: UTA2018 vs LAC2018 | Win Prob: 0.6099444 vs 0.39005557 | Odds: -333 to 276 | Recommendation: Visiting
Match: CLE2018 vs WAS2018 | Win Prob: 0.5018712 vs 0.49812883 | Odds: -238 to 202 | Recommendation: Visiting
Match: HOU2018 vs POR2018 | Win Prob: 0.5940923 vs 0.40590766 | Odds: -714 to 535 | Recommendation: Visiting
Match: MIL2018 vs BRK2018 | Win Prob: 0.5420143 vs 0.4579857 | Odds: -500 to 387 | Recommendation: Visiting
Match: IND2018 vs GSW2018 | Win Prob: 0.45383105 vs 0.546169 | Odds: 124 to -141 | Recommendation: Home
Match: LAL2018 vs SAS2018 | Win Prob: 0.39962202 vs 0.600378 | Odds: 225 to -263 | Recommendation: Home
Match: NOP2018 vs MEM2018 | Win Prob: 0.6630657 vs 0.33693436 | Odds: -1429 to 886 | Recommendation: Visiting
Match: ATL2018 vs MIA2018 | Win Prob: 0.36786154 vs 0.6321385 | Odds: 250 to -294 | Recommendation: Home
Match: DET2018 vs PHI2018 | Win Prob: 0.4459313 vs 0.55406874 | Odds: 112 to -127 | Recommendation: Home
Match: ORL2018 vs DAL2018 | Win Prob: 0.42507437 vs 0.57492566 | Odds: -130 to 114 | Recommendation: Visiting
Match: LAC2018 vs SAS2018 | Win Prob: 0.41091007 vs 0.58909 | Odds: 108 to -125 | Recommendation: Home
Match: PHO2018 vs SAC2018 | Win Prob: 0.5067956 vs 0.49320447 | Odds: 123 to -141 | Recommendation: Home
Match: DEN2018 vs IND2018 | Win Prob: 0.5011238 vs 0.49887618 | Odds: -185 to 163 | Recommendation: Visiting
Match: UTA2018 vs LAL2018 | Win Prob: 0.6210281 vs 0.37897187 | Odds: -833 to 603 | Recommendation: Visiting
Match: DAL2018 vs POR2018 | Win Prob: 0.43069273 vs 0.5693073 | Odds: 269 to -323 | Recommendation: Home
Match: MIL2018 vs BOS2018 | Win Prob: 0.43919677 vs 0.5608033 | Odds: -185 to 162 | Recommendation: Visiting
Match: CHI2018 vs CHO2018 | Win Prob: 0.34642467 vs 0.65357536 | Odds: 187 to -217 | Recommendation: Home
Match: HOU2018 vs WAS2018 | Win Prob: 0.63949245 vs 0.36050758 | Odds: -400 to 325 | Recommendation: Visiting
Match: OKC2018 vs GSW2018 | Win Prob: 0.48583758 vs 0.51416236 | Odds: -175 to 154 | Recommendation: Visiting
Match: MIA2018 vs ATL2018 | Win Prob: 0.6321385 vs 0.36786154 | Odds: -1250 to 819 | Recommendation: Visiting
Match: NYK2018 vs ORL2018 | Win Prob: 0.5211212 vs 0.47887877 | Odds: -114 to -102 | Recommendation: Home
Match: PHI2018 vs BRK2018 | Win Prob: 0.6223322 vs 0.37766778 | Odds: -417 to 334 | Recommendation: Visiting
Match: LAL2018 vs SAC2018 | Win Prob: 0.5987918 vs 0.40120825 | Odds: -323 to 273 | Recommendation: Visiting
Match: POR2018 vs MEM2018 | Win Prob: 0.6869016 vs 0.3130984 | Odds: -2000 to 1185 | Recommendation: Visiting
Match: GSW2018 vs PHO2018 | Win Prob: 0.7147472 vs 0.28525284 | Odds: -2000 to 1165 | Recommendation: Visiting
Match: DEN2018 vs MIL2018 | Win Prob: 0.56435317 vs 0.43564683 | Odds: -217 to 189 | Recommendation: Visiting
Match: MIN2018 vs UTA2018 | Win Prob: 0.48113367 vs 0.5188663 | Odds: 125 to -143 | Recommendation: Home
Match: ATL2018 vs ORL2018 | Win Prob: 0.48002443 vs 0.51997554 | Odds: -120 to 104 | Recommendation: Visiting
Match: BRK2018 vs DET2018 | Win Prob: 0.42988136 vs 0.5701186 | Odds: -106 to -108 | Recommendation: Home
Match: CLE2018 vs DAL2018 | Win Prob: 0.52354693 vs 0.4764531 | Odds: -667 to 522 | Recommendation: Visiting
Match: NOP2018 vs OKC2018 | Win Prob: 0.44743603 vs 0.5525639 | Odds: -102 to -112 | Recommendation: Home
Match: CHI2018 vs WAS2018 | Win Prob: 0.36156607 vs 0.63843393 | Odds: 279 to -333 | Recommendation: Home
Match: LAC2018 vs IND2018 | Win Prob: 0.42231816 vs 0.57768184 | Odds: -149 to 129 | Recommendation: Visiting
Match: SAS2018 vs HOU2018 | Win Prob: 0.41092095 vs 0.5890791 | Odds: -104 to -110 | Recommendation: Home
Match: CHO2018 vs PHI2018 | Win Prob: 0.45599055 vs 0.5440095 | Odds: 127 to -145 | Recommendation: Home
Match: SAC2018 vs GSW2018 | Win Prob: 0.279743 vs 0.72025704 | Odds: 345 to -435 | Recommendation: Home
Match: MIA2018 vs BRK2018 | Win Prob: 0.5816264 vs 0.4183736 | Odds: -400 to 328 | Recommendation: Visiting
Match: NYK2018 vs DET2018 | Win Prob: 0.41828844 vs 0.5817116 | Odds: 169 to -196 | Recommendation: Home
Match: WAS2018 vs CHO2018 | Win Prob: 0.48345134 vs 0.51654875 | Odds: -256 to 219 | Recommendation: Visiting
Match: LAL2018 vs MIL2018 | Win Prob: 0.4735879 vs 0.5264121 | Odds: -104 to -110 | Recommendation: Home
Match: POR2018 vs LAC2018 | Win Prob: 0.58405817 vs 0.4159418 | Odds: -256 to 216 | Recommendation: Visiting
Match: UTA2018 vs MEM2018 | Win Prob: 0.7095701 vs 0.29042992 | Odds: -2500 to 1272 | Recommendation: Visiting
Match: DAL2018 vs MIN2018 | Win Prob: 0.42283463 vs 0.5771654 | Odds: 213 to -250 | Recommendation: Home
Match: CLE2018 vs NOP2018 | Win Prob: 0.48098907 vs 0.51901096 | Odds: -204 to 175 | Recommendation: Visiting
Match: HOU2018 vs PHO2018 | Win Prob: 0.75776213 vs 0.2422379 | Odds: -5000 to 1801 | Recommendation: Visiting
Match: OKC2018 vs DEN2018 | Win Prob: 0.53097117 vs 0.46902883 | Odds: -172 to 152 | Recommendation: Visiting
Match: ATL2018 vs PHI2018 | Win Prob: 0.3292879 vs 0.67071205 | Odds: 301 to -370 | Recommendation: Home
Match: ORL2018 vs CHI2018 | Win Prob: 0.54483527 vs 0.45516467 | Odds: -263 to 223 | Recommendation: Visiting
Match: GSW2018 vs MIL2018 | Win Prob: 0.60815334 vs 0.3918466 | Odds: -179 to 156 | Recommendation: Visiting
Match: SAC2018 vs IND2018 | Win Prob: 0.31853047 vs 0.6814695 | Odds: 309 to -370 | Recommendation: Home
Match: SAS2018 vs OKC2018 | Win Prob: 0.47961167 vs 0.5203883 | Odds: -119 to 102 | Recommendation: Visiting
Match: MIA2018 vs CHI2018 | Win Prob: 0.65504307 vs 0.34495693 | Odds: -1429 to 864 | Recommendation: Visiting
Match: DET2018 vs WAS2018 | Win Prob: 0.50639707 vs 0.493603 | Odds: 121 to -139 | Recommendation: Home
Match: LAL2018 vs DAL2018 | Win Prob: 0.47320932 vs 0.5267907 | Odds: -385 to 323 | Recommendation: Visiting
Match: PHO2018 vs LAC2018 | Win Prob: 0.39649636 vs 0.6035036 | Odds: 520 to -667 | Recommendation: Home
Match: UTA2018 vs BOS2018 | Win Prob: 0.5358744 vs 0.46412557 | Odds: -526 to 430 | Recommendation: Visiting
Match: MEM2018 vs POR2018 | Win Prob: 0.3130984 vs 0.6869016 | Odds: 227 to -263 | Recommendation: Home
Match: MIN2018 vs ATL2018 | Win Prob: 0.66664934 vs 0.3333507 | Odds: -1111 to 794 | Recommendation: Visiting
Match: CHO2018 vs CLE2018 | Win Prob: 0.5146793 vs 0.4853207 | Odds: -132 to 114 | Recommendation: Visiting
Match: ORL2018 vs BRK2018 | Win Prob: 0.46704692 vs 0.532953 | Odds: 127 to -145 | Recommendation: Home
Match: PHI2018 vs NYK2018 | Win Prob: 0.63342243 vs 0.36657757 | Odds: -1429 to 982 | Recommendation: Visiting
Match: GSW2018 vs IND2018 | Win Prob: 0.546169 vs 0.45383105 | Odds: 298 to -357 | Recommendation: Home
Match: LAC2018 vs MIL2018 | Win Prob: 0.4852765 vs 0.51472354 | Odds: -152 to 133 | Recommendation: Visiting
Match: SAC2018 vs DAL2018 | Win Prob: 0.37573314 vs 0.62426686 | Odds: -141 to 124 | Recommendation: Visiting
Match: HOU2018 vs CHI2018 | Win Prob: 0.7579981 vs 0.2420019 | Odds: -1429 to 900 | Recommendation: Visiting
Match: MIA2018 vs CLE2018 | Win Prob: 0.51629996 vs 0.4837 | Odds: 108 to -125 | Recommendation: Home
Match: NOP2018 vs POR2018 | Win Prob: 0.47285482 vs 0.5271452 | Odds: 102 to -119 | Recommendation: Home
Match: WAS2018 vs SAS2018 | Win Prob: 0.44694987 vs 0.55305016 | Odds: 112 to -128 | Recommendation: Home
Match: PHO2018 vs BOS2018 | Win Prob: 0.32664055 vs 0.67335945 | Odds: 497 to -625 | Recommendation: Home
Match: MIN2018 vs MEM2018 | Win Prob: 0.69376826 vs 0.30623174 | Odds: -1429 to 931 | Recommendation: Visiting
Match: CHO2018 vs NYK2018 | Win Prob: 0.5915636 vs 0.40843642 | Odds: -833 to 609 | Recommendation: Visiting
Match: DET2018 vs LAL2018 | Win Prob: 0.55468726 vs 0.44531274 | Odds: -233 to 199 | Recommendation: Visiting
Match: PHI2018 vs DEN2018 | Win Prob: 0.51803124 vs 0.48196876 | Odds: -213 to 183 | Recommendation: Visiting
Match: GSW2018 vs UTA2018 | Win Prob: 0.5128445 vs 0.48715553 | Odds: 388 to -500 | Recommendation: Home
Match: HOU2018 vs ATL2018 | Win Prob: 0.7392079 vs 0.26079208 | Odds: -1667 to 996 | Recommendation: Visiting
Match: OKC2018 vs POR2018 | Win Prob: 0.5255647 vs 0.47443536 | Odds: -169 to 150 | Recommendation: Visiting
Match: SAC2018 vs BOS2018 | Win Prob: 0.32068998 vs 0.6793101 | Odds: 235 to -278 | Recommendation: Home
Match: WAS2018 vs NYK2018 | Win Prob: 0.5754723 vs 0.42452767 | Odds: -667 to 507 | Recommendation: Visiting
Match: IND2018 vs MIA2018 | Win Prob: 0.52332157 vs 0.47667837 | Odds: -156 to 137 | Recommendation: Visiting
Match: MIL2018 vs SAS2018 | Win Prob: 0.42524135 vs 0.57475865 | Odds: 108 to -125 | Recommendation: Home
Match: BRK2018 vs CLE2018 | Win Prob: 0.43432406 vs 0.5656759 | Odds: 248 to -294 | Recommendation: Home
Match: DAL2018 vs CHO2018 | Win Prob: 0.46182656 vs 0.5381735 | Odds: 123 to -141 | Recommendation: Home
Match: HOU2018 vs NOP2018 | Win Prob: 0.6200114 vs 0.37998864 | Odds: -435 to 346 | Recommendation: Visiting
Match: MEM2018 vs LAL2018 | Win Prob: 0.40146068 vs 0.59853935 | Odds: 227 to -270 | Recommendation: Home
Match: DET2018 vs CHI2018 | Win Prob: 0.6443198 vs 0.35568023 | Odds: -1250 to 838 | Recommendation: Visiting
Match: ORL2018 vs PHO2018 | Win Prob: 0.5445164 vs 0.45548365 | Odds: -312 to 258 | Recommendation: Visiting
Match: PHI2018 vs MIN2018 | Win Prob: 0.5045845 vs 0.49541557 | Odds: -370 to 305 | Recommendation: Visiting
Match: GSW2018 vs ATL2018 | Win Prob: 0.69422776 vs 0.30577227 | Odds: -769 to 575 | Recommendation: Visiting
Match: POR2018 vs BOS2018 | Win Prob: 0.5090293 vs 0.49097064 | Odds: -333 to 278 | Recommendation: Visiting
Match: SAS2018 vs UTA2018 | Win Prob: 0.47829512 vs 0.52170485 | Odds: -156 to 138 | Recommendation: Visiting
Match: CHI2018 vs MIL2018 | Win Prob: 0.38218546 vs 0.61781454 | Odds: 166 to -189 | Recommendation: Home
Match: OKC2018 vs MIA2018 | Win Prob: 0.5552468 vs 0.4447533 | Odds: -263 to 224 | Recommendation: Visiting
Match: CLE2018 vs PHO2018 | Win Prob: 0.6398636 vs 0.3601364 | Odds: -2500 to 1318 | Recommendation: Visiting
Match: NYK2018 vs MIN2018 | Win Prob: 0.370846 vs 0.62915397 | Odds: 268 to -312 | Recommendation: Home
Match: IND2018 vs LAC2018 | Win Prob: 0.57768184 vs 0.42231816 | Odds: -164 to 144 | Recommendation: Visiting
Match: WAS2018 vs DEN2018 | Win Prob: 0.45746374 vs 0.54253626 | Odds: -120 to 104 | Recommendation: Visiting
Match: SAC2018 vs ATL2018 | Win Prob: 0.46859705 vs 0.53140295 | Odds: -161 to 139 | Recommendation: Visiting
Match: DAL2018 vs UTA2018 | Win Prob: 0.4045243 vs 0.59547573 | Odds: 322 to -385 | Recommendation: Home
Match: HOU2018 vs DET2018 | Win Prob: 0.63357216 vs 0.36642787 | Odds: -769 to 573 | Recommendation: Visiting
Match: NOP2018 vs LAL2018 | Win Prob: 0.5689585 vs 0.43104145 | Odds: -141 to 122 | Recommendation: Visiting
Match: CHO2018 vs MEM2018 | Win Prob: 0.65917945 vs 0.34082058 | Odds: -417 to 344 | Recommendation: Visiting
Match: ORL2018 vs PHI2018 | Win Prob: 0.34717894 vs 0.652821 | Odds: 309 to -370 | Recommendation: Home
